date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:42:44	1078191/1078191	---MC-	200	added ('OK')	image/jpeg	etag:%22a9ce9718e334745801b4ddcd7429a145%22	https://gyrusiqusercontent.com/images/XeoHxv0ErFoyqieN2PppKnGRd2o.jpg?width=1993&height=2657	C:/Users/himan/OneDrive/Documents/gyrus/gyrusiqusercontent.com/images/XeoHxv0ErFoyqieN2PppKnGRd2o7ba4.jpg	(from https://thoughtful-choices-798231.gyrusiq.app/)
12:42:44	4263839/4263839	---MC-	200	added ('OK')	image/jpeg	etag:%2213a916a8dc22daa2d7f124c53afad4dd%22	https://gyrusiqusercontent.com/images/BgsxdPJJZ3faakDHp1W2WcB8CoM.jpg?width=4160&height=5536	C:/Users/himan/OneDrive/Documents/gyrus/gyrusiqusercontent.com/images/BgsxdPJJZ3faakDHp1W2WcB8CoM1915.jpg	(from https://thoughtful-choices-798231.gyrusiq.app/)
12:42:46	1676711/1676711	---MC-	200	added ('OK')	image/jpeg	etag:%228eb1b9624bc4a9a9fc164079b5f49220%22	https://gyrusiqusercontent.com/images/2brzgXS5fJHHMvAH83vgl5m8KTI.jpg?width=7952&height=5304	C:/Users/himan/OneDrive/Documents/gyrus/gyrusiqusercontent.com/images/2brzgXS5fJHHMvAH83vgl5m8KTIadb0.jpg	(from https://thoughtful-choices-798231.gyrusiq.app/)
12:42:46	1370988/1370988	---MC-	200	added ('OK')	image/jpeg	etag:%220e1aeeef7fd070d8daa3d5fda3ffdca9%22	https://gyrusiqusercontent.com/images/YGV3hSM1KkFRZxZ0JDeOT7ry7u4.jpg?width=2804&height=4213	C:/Users/himan/OneDrive/Documents/gyrus/gyrusiqusercontent.com/images/YGV3hSM1KkFRZxZ0JDeOT7ry7u4f0da.jpg	(from https://thoughtful-choices-798231.gyrusiq.app/)
12:42:46	2724680/2724680	---MC-	200	added ('OK')	image/jpeg	etag:%22bf0d22e76f6c54fcfc4aa3bd40b7fa3c%22	https://gyrusiqusercontent.com/images/mCkhYgyE0LSy9RJ4nVmmGTpAjLA.jpg?width=3300&height=4959	C:/Users/himan/OneDrive/Documents/gyrus/gyrusiqusercontent.com/images/mCkhYgyE0LSy9RJ4nVmmGTpAjLA74b3.jpg	(from https://thoughtful-choices-798231.gyrusiq.app/)
12:42:46	1519194/1519194	---MC-	200	added ('OK')	image/png	etag:%22f4fd3eac423b849d282ede6cb4184367%22	https://gyrusiqusercontent.com/images/cy4wavbyt81gvoWNZYNvS2mmo8.png?width=1792&height=2688	C:/Users/himan/OneDrive/Documents/gyrus/gyrusiqusercontent.com/images/cy4wavbyt81gvoWNZYNvS2mmo8a722.png	(from https://thoughtful-choices-798231.gyrusiq.app/)
12:42:46	1833187/1833187	---MC-	200	added ('OK')	image/png	etag:%220a947305131c9c86b571050d80817879%22	https://gyrusiqusercontent.com/images/JIIlDuVwdfJZuOpFYqQevpNQRrU.png?width=1792&height=2688	C:/Users/himan/OneDrive/Documents/gyrus/gyrusiqusercontent.com/images/JIIlDuVwdfJZuOpFYqQevpNQRrUa722.png	(from https://thoughtful-choices-798231.gyrusiq.app/)
12:42:46	819374/819374	---MC-	200	added ('OK')	image/png	etag:%22c6f47319f89474d20dd04db1fa4fa24d%22	https://gyrusiqusercontent.com/images/meD9qS8xpKRajRR77S85wY5Mv8A.jpg?width=1984&height=1893	C:/Users/himan/OneDrive/Documents/gyrus/gyrusiqusercontent.com/images/meD9qS8xpKRajRR77S85wY5Mv8Ab7d3.png	(from https://thoughtful-choices-798231.gyrusiq.app/)
12:42:47	2523893/2523893	---MC-	200	added ('OK')	image/png	etag:%22a4534a6aef990b6882ab5e8752d04c89%22	https://gyrusiqusercontent.com/images/XFFLjET4kskD3uCeXXbsOEjE.png?width=1792&height=2688	C:/Users/himan/OneDrive/Documents/gyrus/gyrusiqusercontent.com/images/XFFLjET4kskD3uCeXXbsOEjEa722.png	(from https://thoughtful-choices-798231.gyrusiq.app/)
12:42:49	288404/288404	---MC-	200	added ('OK')	image/jpeg	etag:%22095ac626c6c4a28e7c1db10355d68327%22	https://gyrusiqusercontent.com/images/XNaoO5zh0Xr50RaXTmjSPo.jpg?width=1536&height=1536	C:/Users/himan/OneDrive/Documents/gyrus/gyrusiqusercontent.com/images/XNaoO5zh0Xr50RaXTmjSPo5d20.jpg	(from https://thoughtful-choices-798231.gyrusiq.app/)
12:42:50	1624415/1624415	---MC-	200	added ('OK')	image/png	etag:%22e77e953d1db534f1974efa1a460f839b%22	https://gyrusiqusercontent.com/images/JR3P7kajBqC7kAHbwF66sBvACw.png?width=1920&height=2400	C:/Users/himan/OneDrive/Documents/gyrus/gyrusiqusercontent.com/images/JR3P7kajBqC7kAHbwF66sBvACw083f.png	(from https://thoughtful-choices-798231.gyrusiq.app/)
12:42:50	36532/36532	---M-Z	200	added ('OK')	text/html	etag:%221940bfdcc37d6a48cba3f89607893d38%22	https://thoughtful-choices-798231.gyrusiq.app/privacy	C:/Users/himan/OneDrive/Documents/gyrus/thoughtful-choices-798231.gyrusiq.app/privacy.html	(from https://thoughtful-choices-798231.gyrusiq.app/)
12:42:50	36532/36532	---M-Z	200	added ('OK')	text/html	etag:%221940bfdcc37d6a48cba3f89607893d38%22	https://thoughtful-choices-798231.gyrusiq.app/terms	C:/Users/himan/OneDrive/Documents/gyrus/thoughtful-choices-798231.gyrusiq.app/terms.html	(from https://thoughtful-choices-798231.gyrusiq.app/)
12:42:51	1592035/1592035	---MC-	200	added ('OK')	image/jpeg	etag:%22008d84a0368e8c535fe5b36ab11504aa%22	https://gyrusiqusercontent.com/images/W7xYkGKzPzvnPv58ZBNzxS3JZI.jpg?width=4000&height=4000	C:/Users/himan/OneDrive/Documents/gyrus/gyrusiqusercontent.com/images/W7xYkGKzPzvnPv58ZBNzxS3JZI8296.jpg	(from https://thoughtful-choices-798231.gyrusiq.app/)
